SUCCESSFULLY MAPPED 127 IMAGES IN DVR - RISCHI
Excel Row 3 (Col 4) -> Image: xl/media/image25.png
Excel Row 4 (Col 4) -> Image: xl/media/image25.png
Excel Row 5 (Col 4) -> Image: xl/media/image25.png
Excel Row 6 (Col 4) -> Image: xl/media/image25.png
Excel Row 7 (Col 4) -> Image: xl/media/image25.png
Excel Row 8 (Col 4) -> Image: xl/media/image11.png
Excel Row 9 (Col 4) -> Image: xl/media/image25.png
Excel Row 10 (Col 4) -> Image: xl/media/image25.png
Excel Row 11 (Col 4) -> Image: xl/media/image4.jpg
Excel Row 12 (Col 4) -> Image: xl/media/image2.jpg
Excel Row 13 (Col 4) -> Image: xl/media/image3.jpg
Excel Row 14 (Col 4) -> Image: xl/media/image8.jpg
Excel Row 15 (Col 4) -> Image: xl/media/image5.jpg
Excel Row 16 (Col 4) -> Image: xl/media/image1.png
Excel Row 17 (Col 4) -> Image: xl/media/image1.png
Excel Row 18 (Col 4) -> Image: xl/media/image22.jpg
Excel Row 19 (Col 4) -> Image: xl/media/image9.jpg
Excel Row 20 (Col 4) -> Image: xl/media/image24.jpg
Excel Row 22 (Col 4) -> Image: xl/media/image5.jpg
Excel Row 23 (Col 4) -> Image: xl/media/image12.png
